"","","","2015 [2015]","2015 [2015]","2015 [2015]"
"","","","Unit","Value","Flag Description"
"Africa [5100]","Area [5110]","Agricultural area [6610]","1000 ha","1132833.72","Aggregate, may include official, semi-official, estimated or calculated data"
"Africa [5100]","Area [5110]","Country area [6600]","1000 ha","3031864","Aggregate, may include official, semi-official, estimated or calculated data"
"Africa [5100]","Area [5110]","Land area [6601]","1000 ha","2964920.5","Aggregate, may include official, semi-official, estimated or calculated data"
"Americas [5200]","Area [5110]","Agricultural area [6610]","1000 ha","1225142.8","Aggregate, may include official, semi-official, estimated or calculated data"
"Americas [5200]","Area [5110]","Country area [6600]","1000 ha","4075139.1","Aggregate, may include official, semi-official, estimated or calculated data"
"Americas [5200]","Area [5110]","Land area [6601]","1000 ha","3878860.2","Aggregate, may include official, semi-official, estimated or calculated data"
"Asia [5300]","Area [5110]","Agricultural area [6610]","1000 ha","1664452.5","Aggregate, may include official, semi-official, estimated or calculated data"
"Asia [5300]","Area [5110]","Country area [6600]","1000 ha","3197594.64","Aggregate, may include official, semi-official, estimated or calculated data"
"Asia [5300]","Area [5110]","Land area [6601]","1000 ha","3103223.74","Aggregate, may include official, semi-official, estimated or calculated data"
"Europe [5400]","Area [5110]","Agricultural area [6610]","1000 ha","467209.04","Aggregate, may include official, semi-official, estimated or calculated data"
"Europe [5400]","Area [5110]","Country area [6600]","1000 ha","2305781.6","Aggregate, may include official, semi-official, estimated or calculated data"
"Europe [5400]","Area [5110]","Land area [6601]","1000 ha","2213324","Aggregate, may include official, semi-official, estimated or calculated data"
"","","","","",""
"","","","","",""
