"Country or Area","Year(s)","Variant","Value"
"Africa","2012","Medium","1105285.268"
"Africa","2011","Medium","1076933.813"
"Africa","2010","Medium","1049446.344"
"Africa","2009","Medium","1022858.654"
"Africa","2008","Medium","997144.670"
"Africa","2007","Medium","972265.961"
"Africa","2006","Medium","948156.166"
"Africa","2005","Medium","924757.708"
"Africa","2004","Medium","902048.601"
"Africa","2003","Medium","880016.866"
"Africa","2002","Medium","858622.597"
"Africa","2001","Medium","837820.928"
"Africa","2000","Medium","817566.004"
"Africa","1999","Medium","797836.027"
"Asia","2012","Medium","4286014.731"
"Asia","2011","Medium","4240280.976"
"Asia","2010","Medium","4194425.212"
"Asia","2009","Medium","4148549.798"
"Asia","2008","Medium","4102643.673"
"Asia","2007","Medium","4056684.697"
"Asia","2006","Medium","4010602.667"
"Asia","2005","Medium","3964342.662"
"Asia","2004","Medium","3917871.151"
"Asia","2003","Medium","3871201.740"
"Asia","2002","Medium","3824369.526"
"Asia","2001","Medium","3777425.069"
"Asia","2000","Medium","3730370.625"
"Asia","1999","Medium","3683189.786"
"Europe","2012","Medium","738976.542"
"Europe","2011","Medium","738177.804"
"Europe","2010","Medium","737163.580"
"Europe","2009","Medium","735911.175"
"Europe","2008","Medium","734474.490"
"Europe","2007","Medium","732963.756"
"Europe","2006","Medium","731530.909"
"Europe","2005","Medium","730289.682"
"Europe","2004","Medium","729252.505"
"Europe","2003","Medium","728396.633"
"Europe","2002","Medium","727754.272"
"Europe","2001","Medium","727354.723"
"Europe","2000","Medium","727200.939"
"Europe","1999","Medium","727316.733"
"Latin America and the Caribbean","2012","Medium","611713.895"
"Latin America and the Caribbean","2011","Medium","604661.714"
"Latin America and the Caribbean","2010","Medium","597561.530"
"Latin America and the Caribbean","2009","Medium","590413.658"
"Latin America and the Caribbean","2008","Medium","583222.304"
"Latin America and the Caribbean","2007","Medium","576013.494"
"Latin America and the Caribbean","2006","Medium","568818.539"
"Latin America and the Caribbean","2005","Medium","561655.871"
"Latin America and the Caribbean","2004","Medium","554541.436"
"Latin America and the Caribbean","2003","Medium","547458.825"
"Latin America and the Caribbean","2002","Medium","540353.646"
"Latin America and the Caribbean","2001","Medium","533150.548"
"Latin America and the Caribbean","2000","Medium","525794.973"
"Latin America and the Caribbean","1999","Medium","518271.926"
"Northern America","2012","Medium","348362.053"
"Northern America","2011","Medium","345716.402"
"Northern America","2010","Medium","342936.927"
"Northern America","2009","Medium","339993.501"
"Northern America","2008","Medium","336906.350"
"Northern America","2007","Medium","333743.187"
"Northern America","2006","Medium","330601.133"
"Northern America","2005","Medium","327545.823"
"Northern America","2004","Medium","324616.926"
"Northern America","2003","Medium","321783.263"
"Northern America","2002","Medium","318955.126"
"Northern America","2001","Medium","316004.041"
"Northern America","2000","Medium","312845.026"
"Northern America","1999","Medium","309442.255"

