Continent,Dataset,Outliers,max.Mahalanobis.classic,max.Mahalanobis.robust
Africa,Aquastat,2,3.22453061676594,4.52416218659617
Africa,FAOSTAT,2,3.10430394282507,3.96072452736416
Africa,Meier.et.al.2018,4,4.19483328579106,6.38931806705669
Africa,Salmon.et.al.2015,1,3.24807385491555,4.00429662613232
Africa,Siebert.et.al.2013,3,3.1249658112767,4.24890832937584
Africa,Thenkabail.et.al.2009,3,3.31000450577353,3.21779378027396
Americas,Aquastat,3,2.66412636103101,3.95848678686772
Americas,FAOSTAT,2,2.67245875608203,3.31321907344903
Americas,Meier.et.al.2018,1,2.4919023364212,3.10342282120049
Americas,Salmon.et.al.2015,0,2.08612309570914,2.05419460474737
Americas,Siebert.et.al.2013,1,2.46693803786115,3.06494574888232
Americas,Thenkabail.et.al.2009,5,2.2630893398975,4.14233892918343
Asia,Aquastat,0,2.65231421422834,2.65231421422834
Asia,FAOSTAT,0,2.64909812143716,2.64909812143716
Asia,Meier.et.al.2018,2,3.23101554508907,3.9507545285252
Asia,Salmon.et.al.2015,6,3.05476616871699,6.06361080807223
Asia,Siebert.et.al.2013,1,3.34412920852988,3.60604374031523
Asia,Thenkabail.et.al.2009,1,2.66807240464639,2.72389436534302
Europe,Aquastat,1,2.4107583801792,2.77607149818312
Europe,FAOSTAT,1,2.62447130451377,3.01109069583779
Europe,Meier.et.al.2018,2,3.46221624248306,4.80610390891262
Europe,Salmon.et.al.2015,1,3.36714375710145,4.70126537504894
Europe,Siebert.et.al.2013,2,3.48255461810782,4.90258057743704
Europe,Thenkabail.et.al.2009,2,3.79328483163184,4.93768214442266
